Time,cellID,x,y
31.3,0,90.2131,-0.407286
31.4,0,90.191,-0.665302
31.5,0,90.4658,-0.542212
31.6,0,90.4738,-0.830913
31.7,0,90.7359,-0.771787
31.8,0,90.7592,-0.486591
31.9,0,91.0054,-0.664898
32,0,91.201,-0.707754
32.1,0,91.2456,-0.948221
32.2,0,91.4885,-0.783633
32.3,0,91.6041,-0.597138
32.4,0,91.5672,-0.965872
32.5,0,91.8103,-0.70746
32.6,0,91.7483,-1.05961
32.7,0,91.9065,-1.20993
32.8,0,91.9653,-1.40405
32.9,0,92.2253,-1.346
33,0,92.1748,-1.03853
33.1,0,92.3678,-0.922205
33.2,0,92.5335,-1.17975
33.3,0,92.7165,-1.26478
33.4,0,92.912,-1.31634
33.5,0,93.0965,-1.39368
33.6,0,93.2978,-1.41553
33.7,0,93.3891,-1.16325
33.8,0,93.4935,-1.4897
33.9,0,93.7376,-1.40084
34,0,93.7066,-1.11084
34.1,0,93.7265,-0.91124
34.2,0,93.742,-1.30873
34.3,0,94.0233,-1.13727
34.4,0,94.0139,-1.44816
34.5,0,94.2435,-1.50423
34.6,0,94.2931,-1.18618
34.7,0,94.4938,-1.44693
34.8,0,94.67,-1.5425
34.9,0,94.7066,-1.21777
35,0,94.6944,-1.60766
35.1,0,94.946,-1.65574
35.2,0,94.8982,-1.90395
35.3,0,95.1536,-1.93865
35.4,0,95.0752,-2.19383
35.5,0,95.2697,-2.31907
35.6,0,95.2057,-1.94402
35.7,0,95.5043,-2.02311
35.8,0,95.6822,-1.91648
35.9,0,95.7312,-2.21887
36,0,95.9011,-2.3377
36.1,0,96.0347,-2.48683
36.2,0,96.265,-2.43959
36.3,0,96.3925,-2.23513
36.4,0,96.5353,-2.50602
36.5,0,96.7552,-2.50295
36.6,0,96.9163,-2.32928
36.7,0,96.8548,-2.08092
36.8,0,97.097,-2.0154
36.9,0,97.1613,-2.33154
37,0,97.3203,-2.02853
37.1,0,97.5493,-2.06963
37.2,0,97.5512,-2.36227
37.3,0,97.8104,-2.33286
37.4,0,98.0127,-2.31365
37.5,0,98.0873,-2.06889
37.6,0,98.3288,-2.13739
37.7,0,98.5096,-2.03591
37.8,0,98.4361,-1.77183
37.9,0,98.6817,-1.70923
38,0,98.8866,-1.84388
38.1,0,99.0484,-1.96997
38.2,0,99.1895,-2.11494
38.3,0,99.3084,-2.2779
38.4,0,99.455,-2.41458
38.5,0,99.6819,-2.3829
38.6,0,99.8198,-2.55374
38.7,0,99.8171,-2.78256
38.8,0,100.058,-2.82341
38.9,0,100.268,-2.80941
39,0,100.341,-2.55375
39.1,0,100.516,-2.82502
39.2,0,100.673,-2.57452
39.3,0,100.705,-2.91607
39.4,0,100.783,-3.10036
39.5,0,100.987,-3.18479
39.6,0,101.206,-3.11422
39.7,0,101.4,-3.05836
39.8,0,101.582,-3.18593
39.9,0,101.71,-3.35209
40,0,101.909,-3.41095
40.1,0,102.093,-3.48836
40.2,0,102.199,-3.67432
40.3,0,102.292,-3.85329
40.4,0,102.296,-4.0631
40.5,0,102.335,-4.25932
40.6,0,102.486,-4.40816
40.7,0,102.45,-4.02656
40.8,0,102.487,-4.42311
40.9,0,102.522,-4.61996
41,0,102.669,-4.77305
41.1,0,102.794,-4.44872
41.2,0,103.009,-4.6497
41.3,0,103.157,-4.4292
41.4,0,103.37,-4.42413
41.5,0,103.422,-4.70591
41.6,0,103.375,-4.31924
41.7,0,103.538,-4.1682
41.8,0,103.5,-4.55141
41.9,0,103.618,-4.17787
42,0,103.685,-4.5488
42.1,0,103.904,-4.6139
42.2,0,104.062,-4.38575
42.3,0,104.164,-4.20662
42.4,0,104.365,-4.43182
42.5,0,104.361,-4.6715
42.6,0,104.457,-4.84879
42.7,0,104.68,-4.61686
42.8,0,104.879,-4.75302
42.9,0,105.055,-4.85089
43,0,105.244,-4.70141
43.1,0,105.357,-4.51872
43.2,0,105.479,-4.36029
43.3,0,105.444,-4.1387
43.4,0,105.687,-4.07577
43.5,0,105.903,-4.12582
43.6,0,106.102,-4.14522
43.7,0,106.167,-4.39002
43.8,0,106.261,-4.04579
43.9,0,106.507,-4.08439
44,0,106.438,-4.399
44.1,0,106.667,-4.1182
44.2,0,106.776,-3.94508
44.3,0,107.009,-3.97595
44.4,0,107.118,-3.77475
44.5,0,107.172,-4.12062
44.6,0,107.323,-4.26018
44.7,0,107.48,-4.38609
44.8,0,107.463,-4.02399
44.9,0,107.743,-4.09896
45,0,107.838,-3.87853
45.1,0,107.934,-3.70114
45.2,0,107.937,-3.49107
45.3,0,108.061,-3.85329
45.4,0,108.087,-4.05602
45.5,0,108.298,-4.14511
45.6,0,108.453,-4.27139
45.7,0,108.496,-4.4832
45.8,0,108.751,-4.44418
45.9,0,108.902,-4.25921
46,0,109.099,-4.42185
46.1,0,109.306,-4.38751
46.2,0,109.276,-4.09553
46.3,0,109.509,-4.34845
46.4,0,109.688,-4.43917
46.5,0,109.749,-4.65159
46.6,0,109.924,-4.36553
46.7,0,109.891,-4.13503
46.8,0,110.057,-3.99389
46.9,0,110.167,-4.32106
47,0,110.353,-4.41604
47.1,0,110.324,-4.06143
47.2,0,110.431,-3.88693
47.3,0,110.49,-3.69531
47.4,0,110.753,-3.74677
47.5,0,110.902,-3.59178
47.6,0,111.114,-3.59089
47.7,0,111.199,-3.84787
47.8,0,111.419,-3.66443
47.9,0,111.378,-3.40384
48,0,111.619,-3.35074
48.1,0,111.564,-3.69969
48.2,0,111.852,-3.5698
48.3,0,112.027,-3.458
48.4,0,111.947,-3.19887
48.5,0,112.039,-3.58309
48.6,0,112.278,-3.61691
48.7,0,112.361,-3.81875
48.8,0,112.343,-3.4398
48.9,0,112.626,-3.58505
49,0,112.659,-3.30007
49.1,0,112.909,-3.44881
49.2,0,112.979,-3.18026
49.3,0,113.044,-2.98899
49.4,0,113.295,-3.00786
49.5,0,113.491,-3.09507
49.6,0,113.692,-3.10102
49.7,0,113.738,-2.8297
49.8,0,113.989,-2.89135
49.9,0,114.185,-2.85011
50,0,114.192,-2.58585
50.1,0,114.439,-2.57882
50.2,0,114.382,-2.91001
50.3,0,114.598,-3.0052
50.4,0,114.679,-2.68457
50.5,0,114.696,-3.06182
50.6,0,114.896,-2.76406
50.7,0,114.849,-3.12958
50.8,0,115.138,-3.06419
50.9,0,115.251,-2.84059
51,0,115.37,-3.14374
51.1,0,115.471,-2.81506
51.2,0,115.457,-3.19594
51.3,0,115.569,-3.36931
51.4,0,115.681,-3.02069
51.5,0,115.846,-2.89892
51.6,0,116.055,-3.07382
51.7,0,116.062,-2.75601
51.8,0,116.328,-2.86268
51.9,0,116.492,-2.71592
52,0,116.664,-2.6146
52.1,0,116.715,-2.93092
52.2,0,116.907,-3.02471
52.3,0,116.998,-2.71662
52.4,0,117.24,-2.77112
52.5,0,117.15,-2.48059
52.6,0,117.435,-2.66513
52.7,0,117.505,-2.8869
52.8,0,117.749,-2.79404
52.9,0,117.946,-2.75456
53,0,118.118,-2.89825
53.1,0,118.32,-2.78714
53.2,0,118.4,-3.05166
53.3,0,118.346,-2.67108
53.4,0,118.627,-2.87109
53.5,0,118.759,-3.03457
53.6,0,118.753,-2.67707
53.7,0,118.753,-3.0735
53.8,0,118.957,-3.18587
53.9,0,119.102,-2.90593
54,0,119.298,-3.11141
54.1,0,119.477,-3.19924
54.2,0,119.581,-2.92583
54.3,0,119.621,-2.72086
54.4,0,119.79,-3.03478
54.5,0,119.924,-2.73951
54.6,0,120.12,-2.95813
54.7,0,120.251,-2.70459
54.8,0,120.477,-2.75083
54.9,0,120.597,-2.55445
55,0,120.631,-2.90271
55.1,0,120.68,-2.52148
55.2,0,120.883,-2.80807
55.3,0,120.97,-2.99595
55.4,0,121.149,-2.72414
55.5,0,121.371,-2.80143
55.6,0,121.365,-3.08148
55.7,0,121.548,-2.77666
55.8,0,121.743,-2.70969
55.9,0,121.93,-2.8732
56,0,121.886,-2.5378
56.1,0,122.155,-2.73256
56.2,0,122.352,-2.63214
56.3,0,122.347,-2.36964
56.4,0,122.461,-2.7274
56.5,0,122.562,-2.37948
56.6,0,122.811,-2.49291
56.7,0,122.822,-2.20506
56.8,0,123.083,-2.33255
56.9,0,123.168,-2.55762
57,0,123.288,-2.71793
57.1,0,123.37,-2.37393
57.2,0,123.4,-2.75187
57.3,0,123.633,-2.80688
57.4,0,123.844,-2.79737
57.5,0,123.935,-3.0151
57.6,0,124.161,-2.85691
57.7,0,124.349,-2.97961
57.8,0,124.395,-3.2126
57.9,0,124.647,-3.10901
58,0,124.843,-3.06276
58.1,0,124.99,-2.90694
58.2,0,125.108,-2.7414
58.3,0,125.335,-2.75131
58.4,0,125.405,-3.02107
58.5,0,125.468,-2.66264
58.6,0,125.509,-2.46567
58.7,0,125.766,-2.46452
58.8,0,125.895,-2.29667
58.9,0,126.103,-2.46271
59,0,126.065,-2.72437
59.1,0,126.279,-2.81516
59.2,0,126.493,-2.6815
59.3,0,126.586,-2.93673
59.4,0,126.741,-3.06579
59.5,0,126.849,-2.75753
59.6,0,127.064,-2.71824
59.7,0,127.272,-2.75112
59.8,0,127.318,-3.01553
59.9,0,127.531,-2.7807
